,Acinetobacter,Burkholderia,Burkholderia cepacia complex,Salmonella,Shigella,Enterobacter,Enterobacter cloacae complex,Helicobacter,Campylobacter,Enterococcus,Escherichia,Vibrio,Morganella,Citrobacter,Providencia,Clostrioides,Klebsiella,Proteus,Streptococcus,Staphylococcus,Stenotrophomonas,Stenotrophomonas maltophilia group,Haemophilus,Serratia,Giardia,Vermamoeba,Acanthamoeba,Naegleria,Acinetobacter calcoaceticus baumannii complex,Pseudomonas,Legionella,Mycobacterium,Mycobacterium avium complex
5848579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000CD0AD37,,,
2543704,,UPI0006D407AA,,,,,,,,,UPI0006A6516E,UPI000808CBF8,,,,,,,,,,,,,,,,,,A0A2L1J4A7,,,
4964218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K5Z014,,,
2420767,,UPI0007522AF4,,,,,,,,,UPI0008FD117D,UPI0009C0AF38,,,,,,,,,,,,,,,,,,A0A1C7Z0B3,,,
1815274,,UPI00075D97F3,,,,,,,,,UPI00106B16D2,UPI0010215964,,,,,,,UPI000AE1F104,,,,,,,,,,,UPI000F62B5FB,,UPI0006DCC185,
5894428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000C2CBB7C,,,
180020,N8ZYM0,A0A3P0P1K6,UPI000F574BD0,A0A3S9ZW99,,UPI00123B6355,UPI00049F9ED2,D7FFW7,UPI000F08EE0B,A0A2N8PU18,UPI000DE0F280,A0A4R2FAS0,,A0A2S4QDX2,,,UPI000E2DF8AC,,UPI000E1C04A2,UPI001403B780,UPI0003484400,A0A2U4HZT7,UPI000DD4C4FC,UPI0004993DD8,,,,,A0A143J0G6,A0A3M5JG10,UPI0009B39266,A0A132TAR3,UPI0007FF56EB
262287,A0A5C4U1Q1,A0A1J9PPR5,A0A132DJK2,A0A5I4EU16,,UPI0005140F08,F5RRU2,UPI000EF51933,A0A690BPF2,A0A1Y4QZA6,UPI000BDE84D8,UPI000BA9B9FC,,A0A2U4DVD7,,,A0A6B8ZXQ4,,Q9EVY8,A0A2K4CA63,UPI0013DB99FF,A0A2J0UBN7,,S4YE53,,,,,UPI000416EE2B,A0A3M5F5P0,A0A317U364,A0A2Z5TYB8,
2277263,,UPI0009B37178,,,,,,,,,UPI0009408AF6,UPI00111FEBB8,,,,,,,,,,,,,,,,,,A0A348QX43,,,
3687624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M3EX70,,,
2551494,,UPI00075670F0,,,,,,,,,UPI000743866E,UPI00084AA9C0,,,,,,,,,,,,,,,,,,A0A2G5FK67,,,
1129044,A0A3R9BLY9,UPI001419E959,UPI0007596025,,,,,I9XGB2,,,A0A3W3WUY3,A0A1A6LV57,,,,,UPI000C7C0A65,,A0A380L5X7,UPI00136FB423,,,,,,,,,,A0A1Q8EPQ0,,UPI0005E66E18,
4798622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1B5CVQ3,,,
5104041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E7S9X4,,,
2582041,,UPI00075F9EC5,,,,,,,,,UPI000B42A4BA,UPI000987C5B7,,,,,,,,,,,,,,,,,,A0A554TIR2,,,
3497859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2R3QPF4,,,
203709,A0A656I3A1,A0A0B1YVD4,UPI000F5B2D0E,A0A5X9RUZ6,,A0A3A3ZDN4,UPI0004516E37,A0A0S1XNU5,UPI0011E8241C,A0A6G7PNL1,UPI000DE955D3,UPI000E0CB67A,,UPI0013EE9DC0,,,A0A2U4E342,,A0A1F0YFS8,UPI000E692F32,UPI00066A5586,A0A2J0UAD6,UPI000D01AAA0,UPI00020E95C9,,,,,UPI00044C73AC,A0A5R9RAB0,UPI000E1FB575,A0A132SC72,
3207358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0004642522,,,
2642606,,UPI000B7A15C0,,,,,,,,,UPI000BE949CD,UPI00084B0886,,,,,,,,,,,,,,,,,,A0A482NN40,,,
1744915,,UPI000981AB73,,,,,,,,,UPI0010815E00,UPI000DDA193D,,,,,,,UPI000768F9BD,,,,,,,,,,,UPI000F466128,,UPI0008A8B027,
673343,UPI0002DFF8B3,A0A107WU85,A0A124K875,UPI000D583C44,,UPI00111312F0,UPI0007B3AEC7,A0A2T6Q9P5,UPI00119E09FA,R3W3L6,A0A2S8JQ74,A0A2T5FC60,,,,,UPI00063CEAC1,,UPI0003EFE32F,UPI000852AFDF,UPI000B51BE7B,,,,,,,,,J3GDE0,,A0A0Q2LSW5,
3992033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5C5QH10,,,
1970236,,UPI000758E407,,,,,,,,,UPI000BE7D3BD,UPI000CEA3A2C,,,,,,,,,,,,,,,,,,UPI000F02C7E6,,,
1717375,,UPI0009B1E5D4,,,,,,,,,UPI0010C45F06,UPI000CE4B384,,,,,,,UPI0008A3A2DD,,,,,,,,,,,UPI000F799CB0,,UPI0009404B50,
6784027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00071C06CA,,,
2145805,,UPI0007579771,,,,,,,,,UPI0011166611,UPI00111D1EAE,,,,,,,,,,,,,,,,,,UPI0012372030,,,
5614324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00106B9C65,,,
2819814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J3IMA5,,,
5051322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M5KDB5,,,
1108326,N8WJG2,UPI001422C9CB,UPI00075B49AF,,,,,I9ZY84,,,A0A1L4IXN1,UPI0005EF35CB,,,,,UPI000CC9D093,,A0A3R9IGA9,UPI000CD30A7A,,,,,,,,,,I4KFM7,,UPI0013D273D4,
5904452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000BBE03F3,,,
2202147,,UPI0008FDCD2C,,,,,,,,,UPI0010BABE1E,UPI0010A6573C,,,,,,,,,,,,,,,,,,UPI0012978610,,,
6723279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00073656AF,,,
3256316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000425DAA0,,,
5253003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1H1FTI6,,,
943649,UPI00140B54B7,A0A4R4C2U6,UPI000755A853,UPI000A3B6405,,UPI0006692CD0,,UPI0013F4976A,,,UPI0003EFA696,UPI0003FC3275,,,,,UPI000D74F5D0,,UPI0014283A29,UPI00115B7A3D,,,,,,,,,,UPI000F01C7C2,,A0A1A2PTS0,
6842730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00071C13F6,,,
627249,UPI00044934E2,E8YVT2,A0A118R3B0,A0A5Y3B156,,UPI000DCB2B57,UPI00090072C1,A0A2T6QVG1,UPI0011A8AFCC,A0A1I4J4F0,UPI0011EA085F,A0A2N7NA24,,,,,UPI0003BF33BD,,UPI0002B5C4B5,UPI0008A59D09,UPI0009B26BC4,,,,,,,,,A0A4Z0AMY6,,A0A1V3X1M3,
1560188,,UPI000D1A8299,UPI000760044B,,,,,,,,UPI000CF0B0BD,A0A344KNP6,,,,,UPI000AF18166,,UPI0011E786AD,,,,,,,,,,,UPI001376831B,,UPI0009EF267E,
3499435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A370SLN1,,,
6070446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0010F5F4AE,,,
6437344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00061AD4CF,,,
2947062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00053E1345,,,
1480624,UPI000AE53419,A0A102EWY3,UPI000753F0A9,,,,,,,,L3PD35,UPI0002AE162B,,,,,UPI0006BCFB79,,UPI000CF59B9B,,,,,,,,,,,UPI00125E88AB,,UPI000B96F4D7,
968101,UPI0013D13910,A0A0G3WT69,UPI00075E5F07,,,UPI0007580680,,UPI0012E90C98,,,UPI0003EF930E,UPI00044B492A,,,,,UPI000E2D5CCB,,UPI0013F67DB3,UPI0011067BAF,,,,,,,,,,UPI000F528721,,A0A1A2ZBC7,
685224,UPI0002CE5D96,A0A1P9YAZ3,UPI000CFFFC4C,UPI000C1B931E,,UPI000BA8B4F3,UPI0006654C3F,A0A438P1H7,UPI000A7D0366,R2QFY5,A0A1M2IWL3,A0A4Z6KVR2,,,,,A0A5P2J4Y2,,UPI00040AAD22,UPI0008A83226,,,,,,,,,,A0A2A2E4X7,,A0A1I2P7Q6,
4864180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A4U0YJF8,,,
2884610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0004896448,,,
5098415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E7C0B1,,,
3303016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0004837FE5,,,
6056474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001198CA54,,,
2460986,,UPI000756F7D8,,,,,,,,,UPI000945C25D,UPI000A3D4D5C,,,,,,,,,,,,,,,,,,A0A359D550,,,
2576121,,UPI000756161B,,,,,,,,,UPI000B510D10,UPI0009AB84FC,,,,,,,,,,,,,,,,,,A0A1V9UI12,,,
1831391,,UPI000753CEDF,,,,,,,,,UPI00107F63D1,UPI00107F14C5,,,,,,,UPI000B9C6E72,,,,,,,,,,,UPI000F58E35F,,UPI000717AA79,
6062816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0011A7A944,,,
6690199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0007B6E0EF,,,
4363658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00026E48A4,,,
5757914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00106A058A,,,
1294078,UPI000C2CC0E4,A0A4R9M9J6,UPI000756F1ED,,,,,UPI000BE9B299,,,UPI0013721EF7,A0A0F4NH57,,,,,UPI000A197DCC,,A0A2W5AQG7,,,,,,,,,,,M4X027,,X8AIA2,
1026908,N8YKA8,I2IN66,UPI00075A1F7A,,,,,T0DKA4,,,UPI00067A9C28,UPI00040AA479,,,,,UPI00109B75E3,,UPI0005E65031,UPI000D1E448E,,,,,,,,,,A0A1I4EVM9,,A0A1A0UIR3,
990669,UPI00057AACFA,A0A1D7ZQN5,UPI000759399D,,,UPI0006437097,,UPI00058B2AFF,,,UPI00038F2B9C,UPI000413ECD9,,,,,UPI001008C93A,,UPI0013F677E0,UPI0012AF842A,,,,,,,,,,UPI000F460ABA,,A0A101B0Y6,
3414299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A385BE09,,,
308793,UPI0011DDE347,UPI0012474940,A0A1W0YQ55,A0A3X4XKH4,,UPI00044F3FB8,UPI0005F8E142,UPI000EF756A0,A0A430X0D0,A0A200ILT6,UPI000DE39C84,A0A061Q2U9,,UPI000CEDE886,,,A0A2L0KKL5,,UPI000FED0607,A0A6G8KIG1,UPI0013761542,UPI000DAA9284,,UPI0013D9926C,,,,,K9AZ99,A0A3M6G5E1,,A0A1A3TIR8,
5881197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000C9A5EBB,,,
1012586,UPI00140E01D9,B1YXT1,UPI00075E924C,,,UPI000B409B0A,,J0K352,,,UPI00044598AF,UPI0003F9B893,,,,,UPI000E218C9E,,UPI0005DE9DD0,UPI000E3E0B77,,,,,,,,,,A0A485F780,,A0A329KNC0,
4843072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M3TFL1,,,
596967,A0A143G6Y4,A0A228IP20,A0A132F4U7,UPI0005DB3B6B,,A0A3R8ZVS5,UPI00075B2137,A0A496E6W8,UPI000CD8BAC2,UPI001372C44E,UPI000D1531D0,Q7MFU1,,,,,UPI0002410955,,UPI00036EF843,UPI00085C2204,UPI00119E3F53,,,,,,,,,A0A3B9TME2,,A0A0T1W3U0,
3499353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5C4KZ70,,,
2684512,,,,,,,,,,,,UPI0006D7F6A0,,,,,,,,,,,,,,,,,,A0A085V8C5,,,
6902667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000A1EFA9F,,,
6912475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000B7D06CC,,,
1739240,,UPI0009815899,,,,,,,,,UPI00101F9235,UPI000B59B001,,,,,,,UPI0007653862,,,,,,,,,,,UPI000F0308A0,,UPI000992189D,
4491376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5C5PXB7,,,
6708292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0007841013,,,
2998741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000290775F,,,
2550433,,UPI00075361CC,,,,,,,,,UPI0007A5B8DD,UPI00084A446F,,,,,,,,,,,,,,,,,,A0A4R7TXA3,,,
3397708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A4Y5WAC9,,,
6689823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00080E7FD8,,,
1216379,UPI000B3EC541,UPI00023886E7,UPI000842285D,,,,,UPI0010370D37,,,A0A3T7ZKQ7,A0A1B1BQV1,,,,,UPI00115E721A,,A0A3R9MXX4,A0A2T4PXL2,,,,,,,,,,A0A3G2HG95,,A0A1X2CPH1,
484166,A0A4R1XUC1,UPI00128B04D0,UPI0012DC1912,UPI0004F180A4,,UPI00058932FD,UPI000BA058DE,UPI0003A5F10B,S3XE25,UPI0011438211,UPI001293BC22,UPI000D375B19,,,,,UPI0012FF372A,,E6KP06,UPI000768B2B3,UPI000D53D6F2,,,UPI0009715377,,,,,UPI0009B7DD4D,A0A3B8KAT6,,A0A220YEF1,
213771,A0A5N4BFG6,A0A3N9HAP0,UPI000F5AA142,A0A3V6BRA8,,A0A484YZX1,UPI00047420EA,A0A0B2ES98,UPI00122CD798,A0A376H3N8,UPI000DEF1176,UPI000DE42859,,UPI0013781AAF,,,A0A6B8MM37,,A0A0F3HD44,UPI000F5020B6,UPI0006AC1DCB,A0A2J0TUD0,UPI0011C0310C,UPI0004148250,,,,,UPI00057131D5,A0A1G9ASH9,UPI001374BEED,A0A542NUW0,
2421065,,UPI0007529012,,,,,,,,,UPI000937FFBD,UPI000A17459C,,,,,,,,,,,,,,,,,,A0A2K4X3A0,,,
6808972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000641AB92,,,
4457792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0Q8C315,,,
6249971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009AEACBC,,,
4289936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000535A827,,,
1660410,,UPI0011777F91,,,,,,,,,UPI000B8CF1B6,A0A090TSG1,,,,,,,UPI0007693188,,,,,,,,,,,UPI000F53AE4B,,UPI0005DD2170,
1467160,UPI0007075F6B,A0A104J3K6,UPI0007542BB4,,,,,,,,A0A0V7WGE9,UPI000538CEB2,,,,,UPI0007CCB602,,UPI000CF5202D,,,,,,,,,,,A0A653N543,,UPI000BFF1172,
5633652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000F018669,,,
3790357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A059KTN0,,,
4266918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0005798658,,,
5875958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000CF03978,,,
6626766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0008777720,,,
3747977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0C1HZN0,,,
3889566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3E0ALB2,,,
6878993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00064212DD,,,
6729999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00070F1390,,,
2033448,,UPI000757FF2C,,,,,,,,,UPI000BE5B047,UPI000C81B5A4,,,,,,,,,,,,,,,,,,UPI000F53BC4A,,,
5020326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E6YXX2,,,
361836,UPI000F7C0601,UPI000F574006,UPI0004D5B5E0,A0A3Y4UQU7,,A0A1E5N194,A0A4P6XYD1,A0A4U8S9G9,UPI000458F5B9,UPI0003287341,A0A6D0FYT6,A0A657X0D1,,UPI0008FCF327,,,UPI00129EE937,,UPI0012DF7C97,A0A6H3QAA6,A0A1Z2LHZ2,UPI0011B4A8F3,,A0A379Y853,,,,,A0A1Y5NNE9,A0A0Q5FDB8,,A0A1A2WKV1,
6341089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000A1D86A9,,,
2634912,,UPI000B4DFF5B,,,,,,,,,UPI000BDF72AA,UPI0008040A47,,,,,,,,,,,,,,,,,,A0A1Q9Y448,,,
2158549,,UPI00075EDEDC,,,,,,,,,UPI0010ACCAFB,UPI00112345EC,,,,,,,,,,,,,,,,,,UPI00124033A4,,,
5012010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E6ZVC4,,,
3495461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1H3TPB9,,,
781895,A0A1T1JPU5,UPI000537F595,UPI0011609758,UPI0009AD3D99,,UPI000798BF6B,,A0A5B9J4M0,UPI00094D7C91,,UPI0005064A6E,UPI0005095D33,,,,,UPI0005EE953C,,UPI000669BCBD,UPI000660213E,,,,,,,,,,UPI000F035913,,UPI00037C43DA,
5984790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000BA396AE,,,
2238735,,UPI0009E05F6D,,,,,,,,,UPI0011DD8C19,UPI00111F9B17,,,,,,,,,,,,,,,,,,A0A3M5BCN6,,,
5411404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2W7IET2,,,
3369059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00069E505E,,,
6285271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009F9A4D2,,,
3281931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000402A1D7,,,
4594698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1V9UKE7,,,
107518,N9PJD3,A0A104ZFG6,A0A3P0WWF4,A0A5H6U249,UPI00097CE02F,UPI000F879C44,UPI0012B73FE1,UPI000EB523E8,A0A690WWP5,UPI0010F7398B,A0A0K3UWS2,A0A5M9NZ59,,UPI0012A9E1E2,A0A2R3M571,UPI000BB1D39C,UPI000E2D9156,UPI000D688AAF,A0A150NP05,UPI000B332294,UPI0013106C8D,M5CIN8,UPI000682EAD9,A0A2V4FWT8,,,,,UPI000F977936,A0A1Y3LKS4,A0A378HZ55,A0A5N0I7S3,UPI0005C6B567
6831852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0006D42772,,,
1022006,UPI00144410AA,A0A1B4SK86,UPI000751BAD0,,,,,A0A0E0WB23,,,UPI000451C15E,UPI0003F9653C,,,,,UPI000E2CCB06,,UPI0005E00256,UPI000E689EAE,,,,,,,,,,A0A1Q8EKS0,,A0A329KUS0,
2198423,,UPI000841537C,,,,,,,,,UPI0006794088,UPI001159CD49,,,,,,,,,,,,,,,,,,UPI0012951A78,,,
965336,UPI0013712A17,A0A3N8CXB7,UPI00075C9444,,,UPI0007359FF1,,UPI0013D022D6,,,UPI0003C0C1B2,UPI0003B1ECAA,,,,,UPI000E2D094D,,UPI0012B50C4A,UPI00119D82DB,,,,,,,,,,UPI000F042709,,A0A1A2WV68,
2843617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000424D9FF,,,
1627138,,UPI000BBD1D0C,,,,,,,,,UPI000D78AFA5,S7IBA7,,,,,,,UPI0007698B49,,,,,,,,,,,UPI000F7F89D9,,UPI0009F73AA9,
4225734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0013C2E446,,,
5371456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A502I1N2,,,
5852627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000CCC716E,,,
2355873,,UPI00075D46B0,,,,,,,,,UPI000750DC62,UPI00115BD3F5,,,,,,,,,,,,,,,,,,A0A024HDN0,,,
4051908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5N9IAT4,,,
474477,A0A1E7R8W8,UPI0012FCA2D1,A0A108F1A2,A0A5Y2NRG8,,UPI0005F0B2B6,UPI000CEBBCB4,UPI0004142CA3,A0A3P1X0C7,UPI000CF09082,UPI00130236D7,UPI001028C414,,,,,UPI000D64F8BC,,A0A0P6SL72,UPI0004725A3A,A0A4Q7RCV3,,,UPI00119ABBD0,,,,,UPI000A334E20,A0A1U9Y4C7,,UPI0012DDD375,
6490677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000811FBAC,,,
1693541,,UPI0011AE31C6,,,,,,,,,UPI000BE4135A,UPI000C820B20,,,,,,,UPI000977259A,,,,,,,,,,,UPI000FF68D2D,,UPI000801E20E,
3283744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000481E159,,,
6936482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000A20097F,,,
2470267,,UPI0007594D06,,,,,,,,,UPI0007D6D159,UPI00076A63F9,,,,,,,,,,,,,,,,,,A0A502HV72,,,
4228188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001411C29B,,,
2435778,,UPI00075BD544,,,,,,,,,UPI00098AFDDD,UPI0009C1A2AB,,,,,,,,,,,,,,,,,,J3G3Q7,,,
4663632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2N8G8N4,,,
4537409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3G7X5N1,,,
6467794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0007615269,,,
1067238,A0A657CIE6,A0A108E8N0,UPI00076854A5,,,,,A0A439BYG2,,,A0A1X3LLZ5,UPI00040C251E,,,,,UPI00109D4955,,UPI0005E2F925,UPI000DA76C5A,,,,,,,,,,A0A3M5PGW1,,UPI0013D106DC,
3680684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A423GME3,,,
659937,UPI0001B8EDB4,A0A1W0YDJ8,A0A104JWC1,UPI000D339C89,,UPI0010704273,UPI00079CD155,A0A2A6XU77,UPI0011A22093,A0A291DL68,UPI00123B2ADA,A0A2N8Z954,,,,,UPI000665D3DF,,UPI0002BA774D,UPI000806BD48,UPI0006AA1717,,,,,,,,,M4XF94,,A0A0Q2LLC5,
2949529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00053D13A2,,,
5881006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000C6EF74E,,,
5944993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000C6EB38E,,,
793335,A0A4R0E1L9,UPI00052A9135,UPI0011B24258,UPI0009ADEE06,,UPI000745932B,,A0A5R9ET24,UPI00093062EC,,UPI0001FB7504,UPI0005126E69,,,,,UPI0005EDD8A3,,A0A426G0M0,UPI00066E5B8D,,,,,,,,,,UPI000F02466D,,UPI000459FC4F,
6932229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000B4959D4,,,
212413,A0A505ML42,A0A3Q9F8Y1,UPI000F5D5397,A0A3V2MWZ1,,A0A2J0PCC8,UPI00044F79E9,A0A2A6VUC6,UPI00122D1448,A0A366U760,UPI000E018C76,UPI000E0B8F9D,,UPI0013EE5CCF,,,A0A318FV07,,A0A139MQB1,UPI000FF19B2D,UPI00066B342C,A0A6B8JJC1,UPI000682C4DC,UPI0003AEBF7C,,,,,UPI0004F51A60,A0A5N9IBH4,UPI00105611B3,A0A1J0UHZ0,
5143656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A246GX84,,,
930973,UPI001431BD7D,A0A3N8CIW8,UPI00075ED795,UPI00067B314A,,UPI000649DB86,,UPI0013D246D2,,,UPI00038F7F99,UPI0002E7AECE,,,,,UPI000D740C48,,A0A2I8AL87,UPI0011A4336D,,,,,,,,,,UPI000BB5F724,,A0A1X0YBX0,
6130009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001042C9AC,,,
1933387,,UPI00075B61D9,,,,,,,,,UPI000C1C663D,UPI000C851200,,,,,,,,,,,,,,,,,,UPI000F533840,,,
1664881,,UPI001177EB9B,,,,,,,,,UPI000BB9023F,UPI000E0A9214,,,,,,,UPI0007655CA7,,,,,,,,,,,UPI000F01D20D,,UPI0005E82A3E,
584720,N9L6Y3,A0A3G3L545,A0A095DJ81,A0A6C8GWP7,,V3P231,UPI0005E41774,A0A496H7I4,UPI000CA7FC77,UPI000CF15D6A,UPI000F897A5C,A7N107,,,,,UPI0002FF0F36,,UPI00029C4577,UPI000986373F,UPI0011100D64,,,,,,,,,A0A1H2DYK2,,A0A5C1RA88,
3087823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0002E8D8A5,,,
930131,UPI001443BF3B,A0A3N8DV23,UPI00075D5676,UPI00071E2247,,UPI00068262A4,,UPI0013E3FDBA,,,UPI0002CBB13F,UPI000315C2F6,,,,,UPI000D369D85,,F3UQ58,UPI0011A7F165,,,,,,,,,,UPI000BA45C84,,A0A1A2ZJ68,
5275161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1C3GLV2,,,
1648748,,UPI0009BE13B1,,,,,,,,,UPI000CFD4D47,A0A656B073,,,,,,,UPI0005E9B810,,,,,,,,,,,UPI000F54E509,,UPI000710280D,
4470228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1G6N652,,,
1797493,,UPI0009B4582B,,,,,,,,,UPI0010CB6F70,UPI00107F257E,,,,,,,UPI0005E9DA9B,,,,,,,,,,,UPI000F7B39C9,,UPI0007F01EAA,
5092262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E6PA69,,,
3716514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2D2M309,,,
6009042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0011A60862,,,
1234816,UPI000EB95E25,UPI0005724B27,UPI000981D4C7,,,,,UPI000CF184B6,,,UPI00143236D1,F9S5F9,,,,,UPI00111898CC,,A0A509D9N7,,,,,,,,,,,A0A2G5MPZ6,,A0A257NJ65,
4519096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M5G0H5,,,
861688,A0A5P1UP94,UPI000480C235,UPI00075FA671,UPI000872F531,,UPI0009B21521,,A0A496GMU4,,,UPI000232217F,UPI0002AE6443,,,,,UPI000DE6CB0A,,F8LK55,UPI000D1F873E,,,,,,,,,,UPI000DD38832,,UPI0005E07372,
2540553,,UPI0005F0ED5D,,,,,,,,,UPI000681D976,UPI00084BA271,,,,,,,,,,,,,,,,,,A0A5H2XSC8,,,
2770301,,,,,,,,,,,,UPI000A1E6C2A,,,,,,,,,,,,,,,,,,A0A2W5D6W2,,,
76992,A0A4R0DPE4,A0A1J9PUY6,A0A0U4DR08,A0A5W6XQD0,UPI000DA5B954,UPI0012B67373,UPI000F8653F2,A0A2A6U5E7,A0A694D2L1,UPI000A32EB46,A0A5F1UWT3,F9RAX3,UPI0008A43745,UPI001359974C,UPI0013A7332E,UPI001430F534,UPI000E3D4A4A,UPI00137692A8,A0A1X1GBX8,UPI00045254A6,A0A1W1H2N6,UPI000472E63E,UPI000E58A0DA,UPI001020C255,,,,,A0A3G3C2Y5,A0A2T5Z2U1,A0A0W0ZXK5,A0A0I9U1I4,A0A1A3GNW5
6575749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009BD2337,,,
